1, 0.0, 0.0
8, 44.8, 0.0
14, 48.0, 0.0
21, 46.4, 0.0
27, 46.0, 0.0
34, 47.0, 0.0
40, 47.3, 0.0
46, 54.3, 0.0
52, 58.8, 0.0
58, 62.4, 0.0
64, 65.1, 0.0
69, 65.3, 0.0
74, 60.9, 0.0
79, 57.1, 0.0
84, 53.0, 0.0
90, 50.1, 0.0
95, 47.4, 0.0
100, 45.1, 0.0
105, 42.9, 0.0
111, 43.7, 0.0
117, 46.0, 0.0
123, 48.0, 0.0
130, 48.7, 0.0
136, 48.7, 0.0
143, 48.4, 0.0
149, 48.1, 0.0
156, 48.2, 0.0
163, 48.0, 0.0
168, 49.4, 0.0
174, 48.5, 0.0
179, 47.2, 0.0
184, 45.9, 0.0
189, 44.7, 0.0
195, 43.3, 0.0
200, 42.2, 0.0
205, 41.2, 0.0
211, 40.8, 0.0
216, 42.0, 0.0
222, 43.3, 0.0
228, 44.5, 0.0
235, 45.3, 0.0
242, 45.2, 0.0
248, 45.3, 0.0
255, 45.2, 0.0
262, 45.2, 0.0
268, 45.1, 0.0
274, 44.9, 0.0
279, 44.1, 0.0
284, 43.4, 0.0
289, 42.6, 0.0
294, 41.9, 0.0
300, 41.0, 0.0
305, 40.4, 0.0
311, 40.1, 0.0
316, 41.1, 0.0
322, 41.9, 0.0
329, 42.8, 0.0
335, 43.6, 0.0
341, 44.4, 0.0
347, 45.2, 0.0
353, 45.9, 0.0
359, 46.6, 0.0
366, 46.5, 0.0
372, 46.6, 0.0
378, 46.3, 0.0
384, 45.6, 0.0
390, 44.9, 0.0
396, 44.2, 0.0
402, 43.6, 0.0
407, 43.0, 0.0
412, 42.5, 0.0
417, 42.0, 0.0
423, 42.5, 0.0
429, 43.1, 0.0
435, 43.7, 0.0
441, 44.4, 0.0
447, 45.0, 0.0
453, 45.5, 0.0
459, 46.1, 0.0
466, 46.2, 0.0
472, 46.2, 0.0
479, 46.2, 0.0
485, 46.1, 0.0
491, 45.8, 0.0
496, 45.4, 0.0
501, 44.9, 0.0
506, 44.4, 0.0
512, 43.9, 0.0
517, 43.5, 0.0
522, 43.1, 0.0
528, 43.1, 0.0
534, 43.6, 0.0
540, 44.0, 0.0
546, 44.4, 0.0
552, 44.7, 0.0
558, 45.2, 0.0
564, 45.5, 0.0
570, 45.9, 0.0
577, 46.1, 0.0
584, 46.1, 0.0
590, 45.8, 0.0
596, 45.4, 0.0
602, 44.9, 0.0
608, 44.5, 0.0
613, 44.0, 0.0
618, 43.7, 0.0
623, 43.2, 0.0
629, 43.4, 0.0
635, 43.7, 0.0
641, 44.1, 0.0
647, 44.5, 0.0
653, 44.9, 0.0
659, 45.3, 0.0
665, 45.7, 0.0
671, 46.1, 0.0
677, 46.5, 0.0
683, 46.8, 0.0
689, 46.9, 0.0
694, 46.6, 0.0
699, 46.2, 0.0
705, 45.9, 0.0
711, 45.5, 0.0
717, 45.1, 0.0
723, 44.8, 0.0
730, 44.8, 0.0
736, 44.8, 0.0
742, 45.1, 0.0
748, 45.4, 0.0
754, 45.8, 0.0
760, 46.1, 0.0
766, 46.5, 0.0
772, 46.8, 0.0
778, 47.1, 0.0
784, 47.3, 0.0
789, 47.0, 0.0
794, 46.7, 0.0
799, 46.4, 0.0
804, 46.1, 0.0
809, 45.8, 0.0
815, 45.5, 0.0
820, 45.2, 0.0
826, 45.0, 0.0
833, 45.0, 0.0
839, 45.0, 0.0
847, 45.0, 0.0
854, 44.8, 0.0
861, 44.7, 0.0
868, 44.7, 0.0
874, 44.7, 0.0
881, 44.7, 0.0
887, 44.7, 0.0
894, 44.8, 0.0
900, 44.6, 0.0
906, 44.3, 0.0
912, 44.0, 0.0
918, 43.8, 0.0
924, 43.5, 0.0
